bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-0.0023587899999999995,0.07465856999999998,-0.01492574,0.11211987,-0.00016712,0.04298704,-0.04478173,0.14925277,-0.07463608,-0.01044833,-0.0895669,0.01044833,-0.14927801,0.01492574,-0.01480848,-0.01044833,-0.00381334,0.02,-2.239e-05,-0.020000000000000018,-1.0,2024-05-17 19:42:26
-0.04047184,0.0015159,-0.04478212,0.02566477,-0.07463676,0.04298704,-0.01044873,0.05399917,-0.01044873,0.07462938,0.01044873,5.224e-05,0.0895669,0.02537542,0.14927801,0.01044878,0.01480848,0.01044867,0.01873998,0.08955168,0.0,2024-05-17 19:42:30
-0.03895594,0.13260660000000002,-0.01480848,0.0104495,-0.00381334,0.01044951,-0.07464219,8.214e-05,-2.239e-05,0.01492749,-0.12713073,0.01044951,-0.1492876,0.08955818,-0.07080826,0.14926356,-0.01044957,0.22388404,-0.01044957,0.37313996,0.0,2024-05-17 19:42:35
0.026957329999999998,-0.017397380000000004,0.07463916,0.0447794,0.01480848,-0.0746322,0.00381334,-0.08955529,0.01044898,-0.16418581,0.01044898,-0.01044902,0.01044898,-0.01044896,0.01492699,-0.01044902,0.08956986,-0.02,0.14928309,-0.22387474,-1.0,2024-05-17 19:42:38
-0.0245159,0.06578272,0.07447853,0.00933431,0.0,-0.04477871,0.0,0.07463111,-0.01044906,0.08955529,-0.01044906,0.14925882,-0.01044906,0.01044906,-0.08956988,0.01044906,-0.14928309,0.02537593,-0.01492727,0.02,0.0,2024-05-17 19:42:41
-0.0010748400000000005,0.042216619999999996,0.07463763,-0.00011204000000000075,0.0,-0.08955765,0.01044895,-0.08955529,0.01044895,-0.14925882,0.01044895,-0.01044904,-0.08956988,-0.01044904,-0.14928309,-0.01044904,-0.07080803,-0.02,-0.26206291,-0.22387474,-1.0,2024-05-17 19:42:44
-0.0825159,0.17053015,-0.07463838,0.00589195,0.0,0.00922227,-0.01044895,0.01044945,-0.14928309,0.01044945,-0.01044945,0.01044945,-0.0550244,0.08955893,-0.02537698,0.08955529,0.01044945,0.14925882,0.05588075,0.08,0.0,2024-05-17 19:42:47
-0.05242215,0.09595496,0.07463831,0.04298704,-0.1492806,0.00016712,-0.08929614,0.00922227,-0.04666964,0.01044955,-0.05588075,0.01044955,-0.01044958,0.02537719,-0.01492764,0.04477881,-0.01044958,0.07463133,-0.01044958,0.08955529,0.0,2024-05-17 19:42:51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477926,0.0,0.02537719,0.0,0.07463202,0.0,0.0,0.0,2024-05-17 19:42:53
0.0,0.32588905,-0.07463934,0.0,0.0,0.29855158,0.0,0.05599892,0.0,0.29855158,0.0,0.00016712,0.0,0.00922227,0.0,0.01044955,0.0,0.01044955,0.0,0.04477944,0.0,2024-05-17 19:42:56
-0.01241155,-0.00037148999999997434,0.07463847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01492766,0.0,0.0701551,0.0,0.01044955,-1.0,2024-05-17 19:42:59
-0.08353627,0.04403662,-0.2239411,0.07463849,-0.01045012,0.00031698,-0.12902163,0.20419043,-0.37324922,0.29876828,-0.00016712,0.29855158,-0.01492935,0.08956205,-0.00746353,0.05599892,-0.45180003,0.29855158,-0.753,0.14927001,0.0,2024-05-17 19:43:03
0.042828720000000015,-0.04252072,-0.14929407,0.03856016,0.01045011,0.29859972,0.01045017,0.00024662,0.01045017,0.00094236,0.12902163,0.02492929,0.37324922,0.07463849,0.00016712,0.17915987,0.01492929,0.29859972,0.00746353,0.01045017,0.0,2024-05-17 19:43:06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29859972,0.0,0.02492929,0.0,0.07463849,0.0,0.17915987,0.0,0.0,0.0,2024-05-17 19:43:06
0.025776579999999993,-0.0008197899999999999,0.0,-0.00024662,-0.12902163,-0.04298704,-0.37324922,-0.17915986,-0.00016712,-0.29859972,-0.01492923,-0.29859972,-0.00746353,0.0,-0.45180003,0.0,-0.753,-0.17915987,-0.02337516,-0.08,0.0,2024-05-17 19:43:09
-0.15142523,0.05882918,0.0,0.29818952,0.01045029,0.08112726,0.12902163,-0.29859972,0.37324922,-0.01492937,0.01045029,-0.07463781,0.01045029,-0.17915987,0.00016712,-0.01045017,0.01492934,-0.01045017,0.00746353,0.010450169999999995,0.0,2024-05-17 19:43:14
0.15123857999999998,-0.0149701,0.0,0.0,-0.01045032,0.0,0.0,0.0,-0.01045032,0.02537985,-0.01045032,0.01045048,-0.00016712,0.01045048,-0.01492934,0.07463749,-0.00746353,-0.08,-0.37326516,-0.16796466,0.0,2024-05-17 19:43:17
0.13786283,0.0,-0.01045028,0.0,-0.12902163,-0.16756529,-0.01045028,0.0,0.01045028,0.01492937,-0.00016712,-0.01045028,-0.01492934,-0.01045028,-0.00746353,-0.01045028,-0.37326516,0.0,-0.45180003,-0.07840259,0.0,2024-05-17 19:43:20
-0.000288189999999966,-2.989999999999937e-05,0.01045008,0.0,0.01045008,0.0,0.01045008,0.0,0.12902163,0.0,0.0,-0.07463734,0.0,-0.08,0.0,-0.01045009,0.0,-0.01045009,0.0,0.0,0.0,2024-05-17 19:43:23
-0.28801277000000003,0.31364255,-0.07464941,-0.17915983,-0.12902163,-0.29859972,-0.00016712,-0.02538061,-0.14930341,0.01045099,-0.753,0.07464211,-0.01045092,0.01045083,-0.01492962,0.14927935,-0.01045092,0.02,-0.01045092,0.08,0.0,2024-05-17 19:43:26
0.0604101,-0.01709250000000001,-0.12902163,0.0,-0.07465027,0.0,0.0,0.01045108,0.0,0.07464301,-0.01492962,0.01045098,-0.01045109,0.01045098,-0.01045109,0.01492937,-0.01045109,0.14927935,-0.22396899,0.24154724,0.0,2024-05-17 19:43:30
0.0,-0.014160490000000026,0.0,0.0,0.0,0.0,0.0,0.07464383,0.0,0.01045108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:43:32
-0.016265429999999997,-0.028948669999999954,-0.00016712,0.07464538,-0.04666964,0.23021686,-0.07465193,0.29859972,-0.01492937,-0.16421339,0.01045078,-0.01045078,0.01045078,-0.01045078,0.01045078,0.01045078,0.14930868,-0.22391538,0.0,0.37319224,0.0,2024-05-17 19:43:35
-5.482999999999877e-05,-0.003290060000000039,0.12925366000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.014929369999999997,0.0,0.01492937,0.0,0.01045078,0.0,0.01045078,0.0,0.01045078,-0.3186982,0.22391538,-1.0,2024-05-17 19:43:38
-0.12942078,0.16714803,-0.04666964,0.06070911,-0.07465193,0.04299929,-0.14930868,0.0895754,-0.01492978,0.01045119,-0.21044717,0.01045119,-0.37329754,0.01045119,-0.08994539,0.08957046,-0.00231172,0.14928402,-0.22606711,0.0,-1.0,2024-05-17 19:43:41
-0.05866072,0.35800175,-0.07465507,0.18817428,-0.14931354,0.29862379,-0.01045136,0.29862379,0.01045136,0.07464854,0.01045136,0.01,0.12851017,0.01045152,0.38822827,0.01045152,0.0,0.01045152,-0.05127024,0.14928905,0.0,2024-05-17 19:43:44
-0.0076870299999999975,0.12410330999999997,-0.07465809,-0.0746504,-0.12851017,-0.19410983,-0.1642488,-0.29863182,-0.01045179,-0.01045164,-0.01045179,0.01045164,-0.01045179,0.01,-0.00231172,0.01045164,-0.37331432,0.14929365,-0.38480504,0.29863182,-1.0,2024-05-17 19:43:48
-0.26339165,0.1227479,-0.14932597,0.01493228,-0.0104522,0.015,-0.0104522,0.00016712,-0.0104522,0.17918418,-2.24e-05,0.29864029,-0.01493228,0.29864029,-0.22032811,5.226e-05,-0.01675831,0.07287868,-0.37333755,0.07465249,0.0,2024-05-17 19:43:51
0.12377313000000001,-0.12120964999999999,-0.01045229,0.02579228,-0.01045229,0.04298704,-0.01045229,0.01493227,-2.24e-05,0.05549432,-0.22032811,0.00016712,-0.01675831,0.17918418,-0.01493227,0.30864029,-0.37333755,0.29864029,-0.19244615,-0.07041346,0.0,2024-05-17 19:43:54
-0.00026607000000000713,0.04283921,0.01045225,-0.02493228,0.01045225,-0.05549432,0.01045225,-0.00016712,0.37332204,-0.3545133,2.24e-05,-0.29864029,0.0150994,-0.29864029,0.01675831,-0.07041346,-0.17201782,-0.01045219,0.0,-0.01045219,0.0,2024-05-17 19:43:57
0.0,-0.005875440000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:43:59
0.48451296,0.0288596,-0.01045237,-0.01493228,-0.37332204,0.0,-2.24e-05,0.0,-0.01045237,-0.17532911999999998,-0.01045237,0.0,0.0,0.0,0.0,0.01045244,-0.05655008999999998,0.01045244,0.0,0.01045244,0.0,2024-05-17 19:44:02
0.6636699200000001,0.03950208000000001,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.00016712,0.0,0.17918418,0.0,0.29864029,0.0,0.29864029,0.0,-0.01045225,0.0,-0.04224813,0.0,2024-05-17 19:44:05
0.0,0.0025710099999999986,-0.37332204,0.03329662,-2.24e-05,0.0,-0.01045245,0.0,-0.01045245,0.0,-0.01045245,-0.01045232,0.0,-0.01045233,0.0,-0.05845234,0.0,-0.07041346,0.0,-0.08,0.0,2024-05-17 19:44:08
0.00025482999999981715,0.027301969999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028728,0.0,-0.63848476,0.0,0.0,2024-05-17 19:44:11
-0.014461529999999945,-0.00012947999999998738,0.01045227,0.0,0.01045227,0.0,0.01045227,0.0,0.37332204,0.0,2.24e-05,0.01045243,0.0,0.01045243,0.0,-0.010452329999999996,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:44:14
-0.00032805000000002416,-0.009483700000000012,-0.01045237,0.17919014,-0.37332204,0.2986501,-2.24e-05,0.01493228,-0.01045237,0.05549432,-0.01045237,0.01,0.0,0.2986501,0.0,0.00016712,0.0,0.01045243,0.0,0.2986501,0.0,2024-05-17 19:44:17
0.0,-0.0004218900000000081,0.0,0.01256067999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:44:20
0.03132478999999999,-0.06553083999999999,-0.37332204,-0.0016239999999999866,-2.24e-05,0.0,-0.0150994,0.0,-0.01675831,-0.00016712,-0.05860201,-0.07044213,-0.09738265,-0.04479028,-0.00028728,-0.01045202,-0.18824352,-0.01045202,-0.7467276,-0.07465031,0.0,2024-05-17 19:44:23
1.8000000001627825e-07,-0.01648268,0.0,0.02257354,0.0,0.05696115,0.0,0.0,0.0,0.05803071,0.05401078,0.00016712,0.08973065,0.04226534,0.0,0.07044213,0.0,0.06419833,0.0,-0.010452,0.0,2024-05-17 19:44:26
-0.053958320000000004,0.027386889999999997,0.0,0.04731218,0.0,0.01493228,0.0104525,-0.05803071,0.0104525,-0.0104525,0.0104525,0.0104525,0.0150994,0.00016712,0.01675831,0.01045238,0.00028728,0.05122434,0.05381968,0.07044213,0.0,2024-05-17 19:44:30
0.016000000000000014,0.03317017,0.0,0.0,0.0,0.0,0.0,0.0,0.01493228,0.0,0.0,0.0,-0.014932280000000001,0.0,0.0,0.0,0.0,0.0,-0.56098273,0.0,0.0,2024-05-17 19:44:33
-0.0015105499999998884,2.9910000000007986e-05,0.0,-0.012493710000000005,0.0,0.0,0.0,0.0,0.0,0.01045265,0.0,0.0104525,0.0,0.0104525,0.0,0.00016712,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:44:36
-0.010319579999999995,-0.025763460000000002,0.0,-0.00106275,0.0,-0.17919014,0.01493228,-0.2986501,0.0104525,0.01493228,0.0104525,0.02545265,0.0104525,0.0104525,0.00016712,0.0104525,0.01675831,0.00016712,0.00028728,0.2986501,0.0,2024-05-17 19:44:39
0.017173249999999918,0.08121455000000001,0.0,0.01493228,0.0,0.0,-0.02538483,0.0,-0.01045255,-0.02545265,-0.01045255,-0.01045255,-0.00016712,0.01045255,-0.01675831,-0.00016712,-0.00028728,-0.2986501,-0.56098276,-0.17919006,0.0,2024-05-17 19:44:42
-0.0909985900000001,0.09558894000000001,0.07194013,0.19161156,0.37332204,0.2986501,2.24e-05,0.01493228,-0.0150994,0.05588018,-0.01675831,0.0104528,-0.01045266,0.01045281,-0.0104528,0.0104528,0.0104528,0.00016712,0.00028728,0.17919014,0.0,2024-05-17 19:44:45
-0.004479679999999986,-0.0012899700000000291,-0.07136674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0104528,0.0,-0.01045274,0.0,0.0,0.0,0.0,0.0,-1.0,2024-05-17 19:44:50
-0.00168302,0.81943201,-0.01675831,0.01045421,-0.03831315,0.0104541,-0.00028379,0.0104541,-0.39049296,0.00156156,-0.445,0.20137975,-0.25742431,0.01,-0.74679023,0.34290034,-0.00016712,0.09495212,-0.00746353,0.00106275,-1.0,2024-05-17 19:44:53
-0.00151664,0.44035937,-0.05664053,0.01045447,-0.01493431,0.01045447,-0.08961338,0.02538905,-0.14935563,0.18884753,-0.22404159,0.30868311,-0.37340261,9.37e-05,-0.00016712,0.14933055,-0.00746353,0.29868311,-0.09483323,0.17920993,0.0,2024-05-17 19:44:56
0.051852,-2.9300000000120896e-06,0.0,0.04480118,0.08961047,0.0746685,8.999999999426134e-08,0.01045451,0.0,0.01045451,0.01045437,0.01493431,0.01045437,0.01045451,0.01045437,0.18884753,0.22404157,0.30868311,0.37340261,9.37e-05,0.0,2024-05-17 19:44:59
0.0,-0.007818550000000035,0.0,0.01045485,0.01493431,0.01045485,0.07467665,0.17921931,0.08961347,0.29869872,0.14935563,0.01045485,-0.01045487,0.07466933,-0.00016712,-0.02493431,-0.01045487,-1.152e-05,-0.01045487,-0.17920987,-1.0,2024-05-17 19:45:03
-0.36961298,0.04387814,-0.07468444,0.01,-0.08962346,0.18818571,-0.14937236,0.2987063,-0.01493648,0.01493648,-3.11e-06,0.01045582,-0.01045585,0.01045582,-0.01045585,0.07467701,-0.01045585,0.01045582,-0.2240696,0.14934618,0.0,2024-05-17 19:45:05
0.13491044,-0.04415539,0.05995734,0.45409691,0.07102117,0.3088742,0.07468512,-0.07467773,0.11352177,-0.2987063,0.14937236,-0.01045564,0.01045564,-0.01045564,0.01045564,-0.01045564,0.01045564,-0.29873218,3.11e-06,0.012935219999999997,0.0,2024-05-17 19:45:08
-0.06766454999999999,-0.00020149000000000555,0.0,0.0,-0.07468481,0.0,-0.0985853,-0.0746775,-0.16430883,0.05591292,-0.01045564,0.2987063,-0.01045564,0.01045564,-0.01045564,0.01045564,-3.11e-06,0.14935165,-0.2240696,0.01045564,0.0,2024-05-17 19:45:11
-0.0005556000000000033,0.0005490400000000006,0.0,0.0,0.07169508,-0.010000000000000009,0.07468481,0.0,0.11352177,0.0,0.14937236,0.0,0.01045564,0.0,0.01045564,0.0,0.01045564,0.0,3.11e-06,0.0,0.0,2024-05-17 19:45:14
-0.005462040000000001,0.020353630000000004,0.0,0.08961548,-0.07199619,0.01,-0.01493647,0.01045595,-0.07468618,0.01045595,-0.09590183,0.01045595,-0.14937725,0.29873218,-3.11e-06,0.05591292,-0.01045595,0.17923937,-0.01045595,0.2987063,0.0,2024-05-17 19:45:18
-0.005529489999999998,0.11557438,0.0,0.01045638,-0.07321502,0.01045638,-0.01493648,0.01045638,-0.07468767,0.0448083,-0.006273539999999994,0.07468046,0.0,0.1493566,0.0,0.31366866,-0.24497906,0.05591292,-0.535,0.17923937,0.0,2024-05-17 19:45:23
0.05227632,-0.51898134,0.69972134,-0.07468135,0.05995734,-0.01045608,0.01493628,-0.01045607,-0.05108876,-0.01045608,-0.07468884,-0.16429288,-3.11e-06,-0.05591292,-0.00074092,-0.17923937,-0.535,-0.2987063,-0.01045599,-0.06,0.0,2024-05-17 19:45:26
-0.017595390000000002,-0.0032058899999999335,0.0,0.0,0.0,0.14936147,-0.0883879,0.01045615,-3.11e-06,0.01045615,-0.04481376,0.01045615,-0.07468947,0.0149363,0.0,0.05591292,0.0,0.17923937,-0.14938218,0.2987063,0.0,2024-05-17 19:45:30
-0.0013399899999999992,0.0010049999999999226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04481421,0.0,-0.07469026,-0.07084922,0.0,-0.17923937,0.0,-0.2987063,0.0,-0.06,1.0,2024-05-17 19:45:33
0.10687421,-0.00154944,0.00452102,-0.07466708,0.041644,-0.08959919,0.01493355,-0.14933197,0.072,-0.01493356,0.04298704,-0.04298704,0.11805153,-0.22398424,0.19675252,-0.37330704,0.09495212,-2.235e-05,0.12301474,-0.01,0.0,2024-05-17 19:45:38
0.04300252,-0.0015159,0.00203105,-5.226e-05,0.01045303,-0.0628926,0.01045303,-0.07466588,0.04320004,-0.08959619,0.01493331,0.1493269,0.01045303,0.01493331,0.072,0.04298704,0.04298704,0.01,0.11551816,-0.10860668,1.0,2024-05-17 19:45:41
0.2044599,-0.00723977,0.00195222,-0.2239,0.0149252,-0.04137423,0.01044776,-0.04298704,0.04298704,-0.01044776,0.01044776,-0.01044776,0.10539988,-0.01044776,0.19253022,-0.00016712,0.0746334,-0.07461667,0.21769018,-0.14922895,-1.0,2024-05-17 19:45:44
-0.84244964,0.0015159,-0.00016712,0.06202863,-0.13101681,0.04298704,-0.22389287,0.00016712,-0.09033,0.01044919,-0.04298704,0.01044916,-0.21346481,0.01044916,-0.00746715,0.04964803,-0.19562239,0.08,-0.09728509,2.234e-05,0.0,2024-05-17 19:45:47
-0.08840152000000001,-0.00103489,0.0,-0.025,0.0,-0.000668129999999996,0.0,0.036,0.0,0.06,0.0,0.00016712,0.0,0.0104495,0.0,0.0104495,0.2765202,0.0104495,0.19562239,0.04800006,0.0,2024-05-17 19:45:50
