bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
-1.08947683,1.17927462,-0.80856665,0.59997159,-3.23431877,0.79593208,-0.16170635,0.0767746,-0.14665584,1.83118486,-0.36353714,1.17013487,-1.80129239,0.36353714,-0.42134246,0.09087021,-0.64627964,0.5845626,-0.69370192,0.2655262,0.0,2024-05-17 19:43:12
0.0,-0.22923159999999998,0.16082136,-0.36353714,-0.14665584,-0.95266629,-0.36353714,-0.2655262,-0.46863838,-0.3146195,-0.58305882,-0.00244983,-0.64627964,-0.5,-0.69370192,-0.391,-0.02320715,-0.23286012,-0.0454072,-2.09759702,0.0,2024-05-17 19:43:15
-1.08241138,0.11698789,-0.80862273,0.36353714,-0.17,0.48511745,-0.16171579,0.80852908,-0.64627964,0.391,-0.69370192,0.23286276,-3.23469246,0.2655262,-0.36353714,0.3146195,-1.29033089,0.00244983,-1.34056071,1.94035852,0.0,2024-05-17 19:43:18
-0.0023657499999998333,-0.37855824,0.09702584,-0.09702584,0.80862273,0.0,0.17,0.0,0.16171082,-0.2655262,0.64627964,-0.3146195,0.69370192,-1.94035852,3.23469246,-3.23393076,0.36353714,-0.16171265,1.29033089,-0.5,0.0,2024-05-17 19:43:21
-0.09964401000000012,-0.36353714,0.09702474,-0.23285889,0.80860047,-0.83318552,0.16170567,-0.8084967,-0.17,0.0,3.23456048,0.0,1.00981678,-0.5,0.69370192,-0.96948213,1.27558141,-1.99730263,0.32479901,-3.23379043,0.0,2024-05-17 19:43:24
0.011242130000000072,-0.13890582999999998,3.600000000048009e-07,0.0970251,0.0,0.23286013,-0.17,1.00714825,0.16171068,0.391,0.0,0.8084967,-0.3635371399999999,0.2655262,0.0,0.51718784,0.0,0.5,-0.36353714,0.96948213,0.0,2024-05-17 19:43:27
-0.010634950000000032,0.36839621,1.000000000001e-06,-0.23286276,0.0,-0.09702615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2024-05-17 19:43:30
-0.016332789999999986,0.09702615,0.09702622,0.37553366,0.0,0.09702616,0.0,0.23286313,0.0,1.00714825,0.0,0.391,0.0,1.3084967,0.0,0.2655262,0.0,0.51718784,0.0,0.5,0.0,2024-05-17 19:43:33
-0.0026858900000000796,0.32630218,0.09702375,-0.09702631,0.09702364,0.09702631,0.80860047,0.23286313,0.17,0.391,0.16171068,1.48932645,3.23456048,0.0,0.64627964,0.0,0.69370192,0.0,1.27558141,0.0,0.0,2024-05-17 19:43:36
-0.01797565999999995,-0.34645099999999995,0.19405262,-0.42154103,0.16169799,-0.5,0.80857283,-0.09702391,3.2344461,-0.20256834,-1.46858639,-0.09702379,-0.81627964,-0.5,-0.69370192,-1.77795162,-1.27558141,-1.99730263,-0.36353714,-3.23379043,0.0,2024-05-17 19:43:39
0.0,0.002403630000000004,-0.09702573,0.09702569,-0.97027835,0.36353714,-0.17,-0.23286281,0.0,-0.391,0.32313956999999993,1.11365587,-0.16999999999999993,0.8084702399999999,0.0,-0.80846949,0.36353714,-1.83998536,1.27558141,-0.01541254,1.0,2024-05-17 19:43:42
0.18154008,-0.10962772,1.38197744,-0.36353714,0.33444507,-0.5,0.23936877,-0.23285561,0.40824949,-0.96948213,0.43562864,-0.15731727,0.9236553,-1.24302502,0.09702317,-0.5,3.23433229,-0.01541254,0.97996409,-1.32344094,0.0,2024-05-17 19:43:45
0.80222942,-0.71731844,-1.31570316,-0.97607972,0.58435495,-0.96948213,-0.02580049,-0.5,-0.16169721,-0.15731727,-3.23433229,-0.5,-0.97996409,0.80844522,-1.18714745,-0.01541254,-0.09702191,-0.01541254,-1.79172596,-0.01541254,0.0,2024-05-17 19:43:48
-0.04943850999999999,-0.32533657,0.0,0.0,-0.8085402100000001,0.391,0.80855356,-0.15731727,0.0,-0.5,0.17,0.23285259,3.23433229,0.0,0.97996409,1.27298306,1.2732418,0.01541254,1.18714745,0.01541254,1.0,2024-05-17 19:43:51
1.73043479,-0.10961994,0.09701349,-0.09701344,0.17,-0.36353714,3.23398541,-0.2328326,0.09701359,-0.5,0.16168781,-0.00351773,0.02580049,-0.03352085,1.37866963,-0.87601322,0.97996409,-0.80835532,0.36353714,-0.66168781,0.0,2024-05-17 19:43:54
0.0,-0.012606339999999994,0.09701371000000002,0.2665237,0.0,-0.09701365,0.0,-0.5,-0.16168781,-0.00351773,-0.02580049,-0.23283265,-1.37866963,0.0,-0.36353714,0.48501327,0.0,0.391,-1.2732418,0.80835532,0.0,2024-05-17 19:43:57
-0.097015,0.3619679,0.80754114,-0.23283625,0.09701485,-0.5,0.26622818,-0.00351773,0.41179724,-0.03352085,0.17,-0.58203595,3.23398541,-0.391,0.16169145,0.97005983,0.02580049,-0.01448419,0.36353714,-0.5,-1.0,2024-05-17 19:44:00
-0.95175905,0.00840535,-0.80857786,0.09702589,-0.97996409,0.36353714,-3.23437268,0.0034556,-0.08272778,0.04913901,-0.08272778,0.16171754,-0.08272778,1.17608484,-0.08272778,0.5,-0.08272778,0.80847468,-0.36353714,1.90375656,0.0,2024-05-17 19:44:04
