bOF_1,aOF_1,bOF_2,aOF_2,bOF_3,aOF_3,bOF_4,aOF_4,bOF_5,aOF_5,bOF_6,aOF_6,bOF_7,aOF_7,bOF_8,aOF_8,bOF_9,aOF_9,bOF_10,aOF_10,LABEL_TICK1,time
7.24606817,-4.68256163,25.31327395,-36.52929408,50.76804823,-76.8514226,69.28688804,-124.72209487,95.63468166,-52.6773331,87.94460082,-80.33393715,19.22955721,-35.79093826,137.32713787,-155.60483486,80.46681177,-109.34095598,138.40435517,-97.35648747,0.0,2024-05-17 19:43:29
-4.322887570000001,-4.455878210000001,-6.17099138,0.0,0.0,0.0,12.959749080000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17 19:43:32
2.9372398600000005,0.33333333,4.4482994399999995,0.0,16.174011020000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.634,0.0,2024-05-17 19:43:35
19.84784807,-0.009814549999999977,-8.02722448,-24.91407033,0.0,-44.95082144,0.0,-52.6773331,0.0,-80.33393715,0.0,-56.44271921,0.0,-227.16959049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-05-17 19:43:38
2.92318063,-34.91138338,15.38364572,0.0625667099999987,16.30304976,64.37032777,66.94205925,33.31328972,132.02671964,0.0,98.43801176,-22.142719210000003,41.75578361,-225.67865222999998,19.22955721,0.0,137.32713787,0.0,80.46681177,-6.161487470000001,1.0,2024-05-17 19:43:41
2.59165899,-13.17628888,0.0,-118.47855878,-1.9765998200000006,-85.99062282,0.0,-80.33393715,0.0,-34.3,0.0,-1.49093826,0.0,-53.29491893,87.71799756,-109.34095598,0.0,-8.561,0.0,-170.46524917,0.0,2024-05-17 19:43:44
2.92318066,-12.886549989999999,8.60132472,-83.51961004,11.80211782,-35.46302058,6.02495704,26.643646630000006,106.78778199,-2.1807102099999938,123.7129768,39.02388256,80.10679964,-49.29491893,150.16934287,-96.77603312000001,228.89420399,38.34860563,137.32713787,-24.051892589999994,1.0,2024-05-17 19:43:47
26.13388706,-4.12536912,83.74240244,-2.9716791,129.32412011,-40.51482082,39.42413864,-57.46968787,39.01236653,-50.527847,40.29913866,-34.41488719,132.14974093,-34.16806867,158.63631653,-29.48430184,55.59471321,-153.95396622,41.82136948,-91.181,1.0,2024-05-17 19:43:50
15.38364572,-0.11122982,10.69177779,-39.93535879,10.75024138,-19.50864572,5.13922186,-5.00000001,43.26543103,-4.0,46.75036926,-41.17439122,162.9214855,-84.91811569,125.31806093,-115.4874343,79.01010002,-64.68700013,177.08654126,-100.96864896,1.0,2024-05-17 19:43:53
15.38364572,-3.94734419,14.74551508,-91.41268694,11.79641201,-78.07081533,5.00000004,-38.48248541,97.31133043,-32.9395129,123.2668706,-47.52409642,37.55164033,-115.4874343,57.07278661,-31.30000003,176.06508429,-42.02876001,154.8201224,-136.33894345,-1.0,2024-05-17 19:43:56
-24.09619434,-3.94319097,-11.79641201,-20.389135640000006,-5.00000004,-15.383645720000004,-97.31133043,0.0,-123.2668706,11.146010400000002,-41.45164033,85.97877037,-57.07278661,0.0,-120.66276536,0.0,-150.9201224,0.0,-149.77556343,0.0,0.0,2024-05-17 19:43:59
6.00654806,74.74801403999999,-5.00000004,0.0,-97.31133043,0.0,-123.2668706,0.0,-41.45164033,41.64359546000001,-86.57258579,171.10687075,-120.66276536,20.637528939999996,-121.41806093,0.0,-149.77556343,0.0,-53.40405089,-88.10860488999998,-1.0,2024-05-17 19:44:02
-17.90747747,36.85979965,-11.79777583,35.57807089,-67.72609677,139.54675177,-59.66843064,55.95552789,-103.41985842,59.63990558,-78.73681715,36.84544127,-125.31806093,115.20547175,-108.5144179,304.60973754,-38.02040517,106.65188814,-79.79098451,70.77740025,0.0,2024-05-17 19:44:05
0.0,0.0,0.0,12.495023199999999,0.0,-0.6069668399999841,0.0,0.0,0.0,0.0,0.0,25.80117237,0.0,57.48637916,0.0,115.20547175,0.0,304.60973754,0.0,106.65188814,0.0,2024-05-17 19:44:09
